original,translation,cosine_similarity
"الزوج , قلت أنه تصرف بشكل مريب ؟",واقفك كانت طبع زوجك بيخبي عنك الأسرار؟,0.86888164
اي نوع من الحمقى يشوه مكتبة للأطفال؟,حنمشي مكتبة الكتاب، يلا نمشي,0.7012135
دائماً يمكنني معرفة إذا كنتِ تكذبين لا تقلقي,دومًا بقدر أعرف لو كنت تكدبي متقلقيش,0.7550959
"أسمعي, الليلة, أريدك أن تنسي بشأن القضية",سمعي، النهاردة، أنا عاوزك تنسى موضوع القضية,0.8563658
المعذرة يا سيدي المعذرة يا سيدي,تمام يا سيدي، أنا آسف إني شديت ودين,0.89218163
هل لي أن أخبرك بـ سر ؟,هوّ في سرّ أقولك,0.83275414
من يذهب إلى المستشفى للراحة؟,مين بيروح المستشفى عشان يرتاح؟,0.88597006
- لا أريد أن أصاب بالعمى وأخسر ساقاي أجل,- ولاني قادر، و بحذرك,0.6978576
بخصوص تلك القبعات، لقد غيّرت رأيي.,بالنسبة للبرنيطات دي، أنا إتغيرت رأيي,0.8077582
عمل الشرطة قد يكون ثقلاَ عليك,شغل البوليس ممكن يكون ثقيل عليك,0.9689571
أنا كنت مخلصة لك دوما,كنت دايما مخلصة ليك,0.82018
حالما تغادر تلك القوارب غداً ينتهي الأمر,ما إن تروح المراكب دي بكرة كده كله ينتهي,0.8619893
"حسنا, قلت لها أن سيارتها ليست واسعة كفاية لحمل كل الأدلة.",يعني هي قالت قبل كده مش قادرة تنقذني,0.65164703
لا يمكنني إنهاء كل هذا وحدي,مش عايز أعملها لوحدى,0.75178444
"ماذا أعني , ماذا أعني ؟",انت بتعمل ايه يعنى بالضبط؟,0.8275044
كان هناك 19 مراسل,كان في 19 مراسل,0.91635394
حسناً، أعرف أنها لم تكن سوى 10 أيام، حتى الآن,تمام، وكمان أعرف إنها لسة 10 أيام بس,0.8840735
كان علي ان استمع إلى أمي كانت تريدني أن أكون طبيباً,كنت لازم اسمع كلام ماما لأنها كانت عايزة تبقى دكتور,0.7490196
... وافترقنا لفترة طويلة ... ولكني استطعت تحمل هذا ... لأني عرفت بأنه سيرجع يوماً ما ...,وانفصلنا لفتره طويله... بس انا قدرت اتحمل ده... لأني كنت عارفه انه هيرجع يوم ما...,0.8981906
طيب طيب، فقط تأخذ وقتك.,تمام، نجرّب ترا تاني وقت,0.859897
لا أريد ان اراهم، ولا اريد ان اسمع شيء منهم.,أنا مش مسموح ليا بالرد على ده,0.70451236
آه... تلعب دور الهنديّ المبجّل الصامت؟,أه... بتلعب دور الهندي المبجل الصامت؟,0.9704343
قبلة لكل زوجة سيتخذها ابننا.,بوسة لكل مرة يتجوز فيها ابننا,0.8331212
"حسناً, هذه تدعى رقصة الرجل الآلي. وهي نوع شهير جداً من الرقصات.",كويس، ده يتقال له روبوت دانس. وهي نوع من الرقصات منتشرة جداً.,0.8560333
أيهاالسادة،نخب عطريالمفضلالجديد.,ياااااااه طيب دة عطري,0.8159437
يقال أن الرجال يفقدون القدرة على سماع الأصوات عالية التواتر بينما النساء يفقدن القدرة على سماع الأصوات منخفضة التواتر,تمام معايا الصوت بس مش هو اللى يخليكى مشهوره لا,0.5335348
أتعلمين أين (فرانك)؟,تعرفي فين (فرانك) ؟,0.8904057
عندما أقول أنا أعمل، وأنا أعمل، حسنا؟,ما تقوليش إني أعمل ايه حاضر,0.8490054
ماذا لوكان هناك فتيات أُخريات؟,بصراحة مبعرفش عن باقي البنات,0.7622407
حذرتك ان لا تفعلي ذلك,حذرتك تبعد عن دا بس معرفتش.,0.8880209
يجب أن يكون موجوداً هناك . لقد سقطنا من الشجرة سوياً,لازم يكون موجود هناك. واحنا وقعنا من على الشجرة مع بعض,0.9474637
ربما ينبغي لنا أن نعود إلى الشاطئ.,ممكن في الآخر أخلص عندي شوية وقت علي الشاطئ,0.7675736
المشتبه بهم من المفترض أنهم ما زالوا فى الداخل .,آه .. و هنبقى هنا لحد ما ترجع,0.64076304
. أنا و (هاري) كنا نحتفل ليلة البارحة,أنا و هاري كنا بنحتفل امبارح بالليل,0.9530344
وعليك أن تخبرها بنفسك,وعليك انتو تقلوه بنفسك,0.9244188
ما عليك ان تناله هو رأس المال,الدبدوبه اللي لازم تقبض عليها هي اللي رأس مال,0.8233662
أنا آسف يا حبي ماذا قلت ؟,متأسف ياحبيبي قلت ايه ؟,0.96374965
أنت راحة كبيرة لي وأنت تعرف ذلك؟,انت راحة كبيرة لي وانت عارف كدة؟,0.9718986
أم أنك غيرت رأيك فى فترةٍ ما؟,ولا يمكن أن تكون غيرت رأيك في فترة ما؟,0.8299543
انظر في عيون في جميع الصور.,اعمل عيونك طايرة فى كل الصور.,0.89559364
لبقية حياتنا,حيدلنا ازاى ازاى نعيش للأبد,0.83371544
ولكن لا أستطيع اخبار أحدٍ بهذا لذا لن أفعل,أنا مش مسموح ليا بالرد على ده,0.7934412
السفير الايطالي الجديد لديه هدية لك.,السفير الايطالي الجديد معاه هدية,0.94797015
. نعم أنا متأكد ، ولكن شكراً على أي حال,اه، انا متأكد، بجد شكراً,0.9665132
هذا الرجل، الذي لديه العقول... إذا كان لديه الغرائز اللائقة، كان يمكن أن يكون العيش النزيه.,الرجل ده اللي عنده عقل... لو هو كان غريزتُه مظبوطة كان هيستاهل المعيشة النظيفة.,0.87125015
"انظري, , لا أستطيع حقا التحدث الآن",أنا مش قادر على كده,0.80373925
الشيء الوحيد الذي يبقيني في حالة إستمرارية هو الأمل ليوم الإنتقام مهما كان بعيداً,الشيء الوحيد اللى بيصبّرنى وبيخلينى عايش هو الأمل فى يوم الانتقام مهما كان بعيد.,0.9673584
حاربت في معارك فضائية عشت خلال إشعاع قاتل سافرت في الزمن,حاربت في حرب فضائية اتعشت في اشعاع مميت سافرت في الزمن,0.9629146
هل أنت متزوج أم لا؟,إنت متجوز ولا إيه؟,0.71369445
ولكن قبل لي، وأرى المئات من الأبطال.,كنت في مئات المواقف دي,0.7233168
أريد أن أكون في لعبة الإعلانات,أنا عندي شغل كتير دلوقتي,0.5995585
أنا أطلب منك أن الزواج مني.,قول انك بتحبني,0.5864831
سأنتظر معكِ هنا إن لم تمانعي,حاضر بانتظر اتصالك مستني,0.84107804
أنا أعمل للنادي وليس لك,لما كنت موظف بس,0.7757422
لقد حظيت بوقت جيد الليلة الماضية,اتمتعت بوقتي امبارح بالليل,0.8428638
"هل هذا ما تحبه, هل تحب هذه السيارة؟",سيارتك الخاصة وصلت تعالى نطلع,0.7433678
هو لا يعرف أين يوجد الألماس.,هو مش عارف الألماظ موجودة فين.,0.7421584
مايكل لقد أخفتني,مايكل انت خوفتني,0.9464905
- حسنا .. كل تلك الكلاب تنبح.,- ماشي .. كل الكلاب دي بنبح.,0.8885144
سيتساءل لمَ لم أعرف، مما يجعلني قليل المعلومات.,لِسَّه مش فاهم ليه...,0.7948035
أنت مجرد مصدر للي.,بلاش تبعتلي حاجات هو انت تبع مين,0.8058225
فعلت هذا من أجل حماية والدتك,عملت كدا علشان أحمي أمك,0.947873
أيمكن أننا نبحث عن نفس الجائزة؟,اه.. محتمل يكون عندنا اكثر من هدف,0.6194325
لا هنا لإخبارنا بكل شيء تعرفه,بحس انك مش ب تقولي على كل حاجة,0.8041132
ثمّ سَيكون عِنْدَنا كأس ذلك عالم القهوةِ اللانهائيِ في مكانِي?,و بعدين هيكون عندنا فينان دا عالم القهوة الأبدي و الإمكانية في مكاني,0.8444081
أعتقدت أنك ستحضر شيئاً لأشربه,عايزه تشربي مشروب؟,0.84420466
سيدي، ليس لدي فكرة عن مكاننا,أنا مش عارف فين المكان اللي هوه فيه.,0.710314
لدي نظرية جديدة عن الدافع,عندي نظرية جديدة عن الدافع,0.99880266
أود أن أطرح عدة أسئلة,يمكن يكون عندي كمان أسئلة,0.8545287
لا أنت لست كذلك و نحن نعلم ذلك الآن,انت مكنتش عارف ده مش كدة؟,0.7727266
أعني، إن انا تزوجت وانتقلت إلى الضواحي ففي ومضة عين، سأصبح رجلا عجوزا,بس أنا هتسيب الدنيا وأنا متجوزة.,0.7840864
"- أعتذاري, اين هي؟",- وهيين نتايجي؟,0.81452596
ربما ستشعر بها قليلا، حسنا؟,ما أتصورش أنه ممكن تتشال,0.8041618
لكن ذلك سيكلفكم,لذا دي تكلفة الرجوع,0.8259391
"لكن , تَعْرفُ، شكراً لمجيئكم كُلّ هذا الطريقِ",لكن نشكرك على مشاركتنا,0.86595935
ولو لم تكن تهتم، لما كانت مستاءةً لهذا الحد!,لما ماشفتش النتيجة إلي عايزها,0.7820723
لمَ لا تتحدث مع صديقاتك، بما أنك تفعل ذلك طوال الوقت ؟,بتاعين عليكي أصحاب؟,0.6973951
-أريد دخول الحمام,- عاوز أدخل الحمام,0.9478023
كنت أتمنى أن لا تسألنى هذا السؤال,متقوليليش، مش هسأل تاني,0.74170065
لإنها دائما تشعرني اننا اباء سيئون,ماما وحشني كتير,0.74173623
قلتُ لكِ أنني سأُخرجكِ إلى الجانب الآخر من هذا الأمر,ماقدرتش أسيب المكان من غير ما أقولكوا,0.81378645
أنا لا أعرف هذا الحي جيداً سوف أتمشي في الجوار,ابصوا انا عايز امشي البيت بس كده,0.69027686
إنه شيء جيد ان تلك الآلهة هنا في مكة.,بس و الله حلوة ايدى دى يوة,0.7261007
لأن سيذهب إلى بودابست من أجل القمة الهندية الهنغارية,علشان هيسافر بودابست لحضور قمة هندية - مجرية,0.89598465
-إنها طفلتها و أنت تعرف ذلك,أنا متأكدة إنها بنتك,0.86476064
أنت لا تفعل هذا للشهرة ولا للانتقام.,متلعبش معايا.. ولا هتلاقي نفسك تندم,0.7864998
عما تتحدث؟,وليه ما بتتكلمش في الموضوع ده؟,0.9171019
هل كنت تكذب عليّ ؟,كنت بتكذب عليا؟,0.9950768
لأنها هذا النوع من النظرات أنك تحاول أن لا تنظر لأي مكان أخر إلا عيناي ، لكنك تريد ، أليس كذلك ؟,باستثناء عن انك عينيك لسه شايفه نفسك غريق,0.8130754
لابد من أن نكون آمنين الآن,لازم تبقى آمن دلوقتي,0.7513416
عقدين من الزمن وكنت اضع جميعها بعيدا,من وقت ما انفصلت عن مراتي,0.725448
هل أنت مستعد لأن تمنحها كل شيء؟,- بس إنت إزاي علاقتك بيها؟,0.6924412
،كان مرشح الحزب الجمهوري ،ريتشارد نيكسون نائب الرئيس يشارك كينيدي حماسته الوطنية المناهضة للشيوعية,كان مرشح الحزب الجمهورى، ريتشارد نيكسون نائب الرئيس، يشارك كنيدى حماسته الوطنية المناهضة للشيوعية.,0.96450305
أخيرًا مستعدين لوضع حدًا لهذا الجنون وأرسل رجالي ليستولوا على المدينة,والجرذان انتقلوا للقلعة,0.72982776
جئت هنا لتدميرك,ميهمنش أنك تقدر تقتلني,0.7622663
أنتظر أنت في لندن ؟,امتي وصلتي لندن؟,0.8253697
حسنًا، سنحتاج إلى تكتيكات عسكرية حيث نحن ذاهبون,احنا يمكن نحتاج دبابة مُدرعة,0.7452208
صحيح ، إذاً العرض ، قد أنتهى؟,مع انتهاء العرض، إيه رأيك؟,0.8964179
لو تعذرونني لدقيقة,لو ممكن تعذروني شويه,0.9182048
اعتقد انه قد حان الوقت للتفكير في مستقبلنا,أنا فاكر إن الوقت بقى ضروري نفكر في مستقبلنا,0.8906498
..يجب ان تاتي معي,تعالى معانا,0.8129394
أحاول أن أقول إنه لا يمكن أن أفشل هذه المرة.,أنا حاسّ إنّي مش ممكن أخسر المرة دي.,0.82144195
إذا كان أي منكم تقرر لاستدعاء 911 بدلا من ذلك، حسنا، ثم نتحول لقيادة التسمم.,- آه، و بعدين كلّم 911. وكدا حصل.,0.72651994
إذا من يريد أنثى بيضاء وحيدة؟,انت شايفني ابيض؟,0.6196539
يمكن ان يكون بخير لو انا امشي معك قليلا؟,ساهدته معاه؟,0.77055264
تقابلنا منذ 4 سنوات بنيويورك.,تقابلنا من 4 سنين f نيويورك.,0.96752304
ماذا ،هل قلت شـيئا خاطئا,إيه أنا غلطت في حاجة ؟,0.8592526
(هونغ كونغ) وجزر (الفلبين),(هونغ كونغ) وجزر (الفلبين),1.0000004
ما يهم هو فتاة ما تجرح مشاعرك ؟,انتِ بنت كمان مش كده؟,0.74140304
أنا لااستطيع ان ارفع ذراعي اليسرى التي هي اخف من الطفل!,أنا معرفش أروح منها قدام ياسمين، مش قادر امسك حتى إيديها.,0.66906345
دعنا نعود لننهي علي الشمبانيا والكعكة قبلهم,تعالو نرجع نكمل شرب الشامبانيا وناكل التورتة قبلهم,0.9146149
"-لكن إذا كان بخير عندما اتصل, كيف له أن يفقد وعيه الآن؟",و أنا بلغتك انه فى غيبوبة عشان سبب مهم,0.799791
"رائع, إذن سأحرص على أن أعود عندها",أكيد هيرجع تاني,0.8695272
-أنتِ لا تعلمين ماذا فعل,مش عارف بالظبط قصِدك إيه,0.88696396
يعتقد أنها نكتة جيدة إذ يتسنى لكم قول: قضيب,هقولها تاني مكنتش بضحك عليكي,0.8463351
أنت مدللّ ولديك كل شيء!,انت ملكش ايه,0.85911083
سأشرح له لاحقاً.,اكيد لازم يكون في تفسر علمي لللى بيحصل ده,0.7284189
نعم، سيظل هنا حتى يصل الرجل الجديد.,حنبقى نعرف فين هو وايه بيعمل ايه,0.7241291
-لماذا يحدق الجميع بنا؟,بس إيه اللى عاوزاهو مننا دلوقتى ؟,0.8087137
إنها تريد فقط أن تعلم ما أنت حقاً,هى عايزة بس تعرف انتى ايه بالظبط,0.76370883
لا توجد، وكما قلتِ وقتنا ينفد,إحنا خارجين اللحظة دي,0.8180375
ظننتُ أننا متفقان على هذا,تمام اتفقتا اجابنا على السؤال,0.81339014
ليس هناك رجل سيجعلني أريده أنا لست بذلك الضعف,أنا مش هخلي راجل يسيطر عليا أنا مش من الضعفا دي,0.7595717
لا أعتقد أنك بحاجة لقول ذلك,أظن إني مش محتاج أقولك,0.85814273
هل تظن أنه بإمكاني فعلاً القيام بذلك؟,-بتفكري إني قدرت أعملها؟,0.8283846
وينبغي أن تكون أربعين دولارا بما فيه الكفاية للبيتزا.,40 دولار كفاية عشان بيتزا,0.93649495
أرى ذلك، أشتم رائحته ليلا.,و اتخانقو امبارح بالليل,0.6991074
سترتي، أعطيني إيّاها,سيبت معطفيّ هناك,0.7835121
تلك فقط بداية القصة!,ده بس بداية الحكاية!,0.9647719
كالعادة شكرًا لكم على خدماتكم,شكرآك انا متشكرلك جدآ,0.86177087
ضحكنا قليلا اجرينا بعض المقارنات بشأنك,ضحكنا شويه وعملنا مقارنات عليك,0.96207905
أخبرني لو أن هناك مشكلة,تمام ياعيني دي مشكلة عندي,0.808878
نعم حارٌ للغاية مؤلم للغاية,حار اوي اكتر من اي حد ف الكون,0.7139046
-إنّها أفضل سلاح سياسي .,ف آخره هتبقى سياسية,0.6275829
لا ، لا تعتذري انا الذي عليه الإعتذار,اه لا متعتذريش ... انا اللي المفروض اعتذر,0.9637408
أتعلمين، كنت أريد الانتظار حتى شاي بعد الظهر، لكن لدي مفاجأة سارة لك.,ممكن أدعوك على العشا في أي وقت؟,0.75708145
خرج بكفالة واختفى الشاهد,من غير ما نشوف المشتبه بيه؟,0.67387795
هل يمكن أن نعود إلى اللعبة؟,هنقدر نرجع نكمل الجيم؟,0.8170961
سانتا هو حقآ شخص رائع و حقآ لديه الكثير من العلاقات القويه لكن بطريقه ما انا فقط ..,سانتا هو حقًا شخص رائع و حقًا عنده علاقات قوي بس بطريقة ما أنا بس..,0.97096086
لا اريدكِ ان تذهبِ إلى المنزل وحدكِ لذلك انا سوفَ آخذكِ إلى منزلكِ,أنا مش عايزاك تطلعي من البيت إلا لما اديكي حاجة,0.8011409
هذا غرفة كبيرة جدا,نواع الغرفة دي ايه,0.6926484
لا يبقى شيء بالنسبة لنا أن نفعل هنا الحين، وأنا أفترض.,دلوقتي مفيش وقت كتير، يلا نخلص بس.,0.72989714
. هذا ليس متأخر جداً ليذهب كل شخص فى طريقه,-ده مش وقته,0.7918564
أنتلاتعرفإذا أنا هنا ، أوإذااناذاهببعدأختك.,دلوقتي أنا بحكيلك، أنا ما أعرفش,0.82404876
"يا إلهي, إنه قادم إلى هنا",ـ هوه جاى هنا ـ أعرف!,0.82463825
لما أحضرتني لمكتبك لتقول لي هذا؟,ليه جبتلي لمكتبك عشان تقولي كدا؟,0.86758935
واو ، واو ، القول هو ليس شئ قديم ، ليس شئ سعره 95 دولار,أووووو ياااه الكلام ده مش حاجة قديمة مش حاجة تمنها 95 دولار,0.8477626
بربك يا رجل، لا تدعني هكذا!,اتكف عن تبص لي بكده,0.8658323
وأخشى أنّ لديّ المزيد من الأخبار السيئة.,وخايف إني عندي أخبار وحشة أكتر,0.78979516
سأتولى الأمر - شكراً -,- طبعا، و أنا زعلان انى سابك هناك .,0.79420686
أبي، عليّ الذهاب وحدي,لا، أنا أحسن أمشي لوحدي,0.73336744
اعتقدت أنهم كانوا مثل ، رائع والمهم ، وما شابه... (الشمة),أنا فاكرة انهم كانوا يعني زي كده حلوين ومتميزين وكدا... (أفندينا),0.842897
هل تأتين وتفتحيه؟,ما افتحشهاش - آه افتحيها -,0.82130164
لا ، لا ، لا ، لا ما الذي يحدث ؟,هو ايه! ما يبقاش معايا ولا ايه؟,0.7725525
يجب ان أذهب الى الحمام.,عاوز أدخل الحمام,0.8452545
"-نعم, اراهن ان ماءه بارد",هو بارد جامد للسمكة، صح؟,0.7998202
.. لا، يجب أن يجب أن نتحدث,قولتلك إننا محتاجين نتكلم,0.94791114
- كم قتلت أنت؟,فى اكتر من واحد قاتل مكنش؟,0.7789494
هذا الضباب.هذا الظلام إنه مخلوقنا,ده الضباب ده. ده الظلام إنه خلقتونا,0.9086099
فقط ترسل طبيب وجميع يغفر له!,خلي تجيب دكتور وكل حاجة هتتغفر ليك,0.8213167
و مُستكشِفنا مصنوعٌ من العديد من الكاميرات المُختلِفة.,ومستكشفنا معمول من كاميرات مختلفة كتير..,0.92380655
في السادسة عشر من عمري حاولت التحدث مع فتاة,و انا عندي 16 سنه كلمت واحده ...,0.7045593
ولكن كان والدتي كانت إلى الفضاء.,بس كانت امي راحت الفضاء,0.79381037
إن وجدت أيّ شئ.اتصل بنا.,لو لقيت أي حاجة، اتصل بينا,0.88768935
بهذه الطريقة تصفني؟,يعني لوحشتك إنى أستاهل كده؟,0.7688457
- ما هذا بحقّ الجحيم؟,ما بيعملوش كدة؟,0.82412654
"هل حصلت على عمل كثير, يا عامل؟",إنت عايز تعمل إيه؟,0.8793895
إبق هنا، سوف أعود,لحد ما أرجع، أبقى هنا,0.89872897
او، وارسلي سام، شكراً,شكرًا ليك شكرًا ليك أنا سام,0.9146954
إنه مختلف، إنه خطير,هو مختلف، هو خطير,0.9916434
و ما هى علاقة هذا بالحرائق؟,عشان متأكدين من النار تعبانا,0.65898913
شيء جيد آخر... لا حدود في مراحيض السيدات,كنت بعمل هزار في الحمام دا بس هو مش موضوع حمام جد,0.73626024
ماذا دهاك ليلة الأمس؟,ايه اللى كان مختلف فى الليلة دى؟,0.8459912
فى البداية التصوير و الان لديك هذة الموسيقى,اتصورت اول ما وثنيت و دلوقت عندك الموسيقى دى,0.81254363
أتريدين أن تتزوجيني؟ ...,يعني لوحشتك إنى أستاهل كده؟,0.6002234
يتعين أن يكون هناك شيئا أفضل,خالص، عندي حاجة أحسن,0.7978597
لن يكون لديك وقت طويل قبل أن يبدؤوا بإطلاق النار عليك,يعني إحنا ماليينش السلاح,0.74313956
- يا إلهي ، شكراً يالله -,- يا إلهي، الحمد لله,0.9935178
لكنك لم تثق بي كفاية لتخبرني حقيقة من انا,يلا يا عم مش قولت لك إني مقصرش في حقك,0.78120524
ما الذي يفعلونه بأغراضهم؟,ما هنعمل ايه؟,0.82315993
"متحف فنون الاطفال , السبب في وجودكم هنا اليوم يساعد في تنمية مهارات هؤلاء الاطفال",متحف فنون الطفل، السبب اللى جبتكو النهارده لمساعدة تطوير مهارات الأطفال دول,0.9003474
أنه كان كأباً لي,ماكانتش ليها أب كمان,0.88048625
سنبدأ على هذا الكرابولا غدا,حلو، وهلا نبدأ شغل جد,0.7106007
أتمنى أن يكون لديه خطة تقاعد جيدة.,أتمنى يكون عنده معاش كويس.,0.7691156
"حسنا ً, يجب علينا الذهاب, يجب علينا الذهاب.",طيب، علينا.. علينا نمشي,0.8795146
"نعم , لقد حظينا بمحادثة رائعة وسنبدأ بمواعدة بعضنا مجدداً",وإحنا نقول إزاي إننا اتقابلنا؟,0.8202995
لديها صوت جميل نعم,هي حلوة، هي جميل انتي...,0.7728436
لكن دعيني أوضح لكي شيئا أنا لا أقبل الهزيمة,بس خليني أفهمك حاجة أنا مش برضي بالهزيمة,0.83289576
-علمت أنني سأجدك هنا,-عرفت اني حتلاقيك هنا,0.8905132
"الجدوى من ذلك هو, أنّك إذا ماكنت تريد مغفرتهم, سيغفرون لك في النهاية.",لكن اللي عايز اعملو هو المسامحة,0.8449116
هل كان لديهم أمل في أن حكم الموت سيجعلني أتكلم؟,هل كان عندهم أمل أن جزاء الموت هينخليني أتكلم؟,0.98208666
"أجل, وأنا عالجتُ وجهكَ أيضاً وأعطيتكَ طريقاً للخروج",قلتلك لما اخلص اللى بين ايدى النهارده هساعدك,0.7960057
لا تذهب بعيدا في الليل,و اتخانقو امبارح بالليل,0.7049262
- يو، إيقاف تشغيل الموسيقى، رجل.,(يورجي)! أطفي الا حاجه ده,0.7564278
فرانك كان وحيدآ مثلى تمامآ,فرانك كان وحيد أنا زيه بالظبط,0.88590753
لدينا 45 دقيقة لنقرر,عندنا 45 دقيقه عشان نقرر,0.9823598
هل أعرفك أيها الشاب؟,إزاي عرفتني؟,0.8253597
"أمكِ المسكينه , ألم ترين كم كانت سعيدة بأن لكِ صديق",كنت عاوز أقابل أمك,0.7366235
جاء بمجرد أن سمع الأخبار..,المجرد سمع الخبر، وصل علطول,0.8466661
أقل من ست ساعات من الآن,أقل من ست ساعات من دلوقت,0.9463309
حسناً يا رجال ، لقد سمعتم ما قاله الرقيب,تمام يا رجالة، أنتم سمعتوا كلام العريف,0.9337821
-لا تستطيع ، أنا في خطر,-مش قادرة، أنا في خطر,0.9556814
-.نعم ولكنه لن يعود,اتاريت انه مش معنا,0.796199
اتجهي شمالًا، سأُلاقيكِ هناك,إتجهي شمالاً هَلاّقيكِ هناك,0.8826514
اسمعا، نعتقد أنّ هذه المدرسة لديها شيءٌ . مهمٌ للغاية لشعبنا,إحنا بنفتكر إن المدرسة دي عندها حاجة مهمة جدا لشعبنا,0.8932475
أنتٍ لن تكون هناك لإيقافه.,أنتي مش هتكوني هناك عشان تمنعي دا,0.7963807
أريدك أن تعرفي أنني ملتزم التزامًا كاملًا بهذا الاتحاد.,عوزك تعرفي إني ملتزم بكامل إرادتي بهذا الإتحاد.,0.9666512
اريد الخروج من هنا ، لا اريد ان اموت,بس أنا محتاجة لمخرج من هنا وإنتي الأمل الوحيد,0.852519
لقد كانت... بسيطة وحسب وعاطفية و...,كنت مبسوط جداً.,0.70178485
يمكننا أن نتحدث عن ذلك في وقت آخر.,ممكن نتكلم ف ده الموضوع في وقت تاني؟,0.8493012
أتعلم لماذا قام نائب الرئيس بسحب قضيته من المحكمة العليا؟,اديني أعرف ليه القاضي قام بإسقاط الدعوى من المحكمة العليا؟,0.83177555
لأنني حصلت على الدم على يدي.,مش بس الدم اللى شاغلنى;,0.83567697
لا أملك وقتًا لهذا، أخرجوها من هنا.,- لأ، لأ، لأ، أبعدوها من هنا.,0.8105478
"بالنسبة لى, هذه معجزة لك الاّ تصدقها",بالنسبه ليا، دا معجزه ليك أنك م تصدقهاش,0.9353998
"أعتقد, أعني , لقد رأيت شيء.",بصيت في عنيه,0.76862
المرة القادمة التي بها يقترب ذلك الولد الوغد من أبني بأي مكان,لهي كده عايز الاقي أبويا في أقرب وقت,0.8289232
هل هناك شيء في الماء؟,من بحيرة يقدر الواحد يدخل جوه,0.6190629
لماذا أحضر لي هنا؟,بتسألي لما قولت إني مشاعرفة ليه انا هنا؟,0.816594
لقد كان هناك الملايين من الناس يعانون بالخارج...,كان فيه ملايين الناس بيبانوا برا...,0.8320849
رأيتني في لندن، أليس كذلك؟,امتي وصلتي لندن؟,0.82575697
إن قلت شيئاً ليس مذكور في الورقة سأقتل كلبك,ميهمنش أنك تقدر تقتلني,0.73360467
- نحن نذهب إلى الهجرة إلى أستراليا.,روحت أوستراليا؟,0.6728233
من فضلك .. هل تستطيعين ابعاد يديكِ عن طعامي ؟,اتفضلي… ممكن تبعدي ايديكي عن الأكل بتاعي؟,0.8703232
عبارة فصل الكنيسة و الدولة,عبارة فصل الدين عن الدولة,0.93054235
هكذا أطفئنا النار,وغريزتنا هى اننا نحس بالشوية على الواحد اللى بيحرق,0.7217233
-لن أتمكن من الوثوق به مجددًا .,من الصعب أن تجد حد تثق فيه في الأيام دي,0.73766464
وفي نفس هذه اللحظة سيصدر فيروس مباشرة إلى الفصول مكتظ بتلاميذ المدارس البريطانيين,احتمال ان فيروس واحد يقدر يطفش كل النظم تمام,0.5995095
هيا، تقضين كلّ وقتك معه، وبعد ذلك تختلقين كلّ هذه الأعذار، لماذا؟,ماشي، بتقضى كل وقتك معاه، وبعدين تيجى تعملى كل الحجج دي ليه؟,0.8383659
"حسناً, لا أشعر بالسوء بنفس مقدار سوء مظهرك",أنا مش زعلانه انك مقتسرش,0.7663181
لما على وجهة الأرض تسأل عن ذلك الآن؟,بس إنت مش حتستخدم الإجابة عليه؟,0.76608706
حاول ألا تغير المستقبل.,عشان خاطر أمان عياله كان لازم يخبي وجودهم.,0.66660494
هل أحضرت زجاجة النبيذ التي أردتها؟,أنا قلتلك مش بحب أشرب نبيذ؟,0.82865053
يجب أن أذهب من هُنا,بس أنا محتاجة لمخرج من هنا وإنتي الأمل الوحيد,0.8545467
يُمْكِنُ أَنْ تَعتقدَ هذا الرجلِ، أَنا عاطل عن العمل!,أنت ممكن تعتقد أن الراجل ده عندو شغله ايه يا عم، أنا عاطل عن العمل!,0.8797978
هذا بالضبط ما أتحدث عنه تعلمين...,أكيد عارفة اللي باقوله طول الوقت,0.81732905
لا تشكريني حتي نودعه السجن,ما تشكرنيش إلا لما ندخله السجن,0.8644412
",لكن إذا لم يقم الفنانون بجولات فلن يأكلوا",والعسكر غالباً مش بيكون واثق لو هيكون في أكل بكرة,0.58381397
هي و سكان فيلاديلفيا إنتظروا بصبر تحقق العدالة و لا يجب عليهم الإنتظار أكثر,هي و سكان فيلادلفيا انتظروا بصبرتحقيق العدالة و لا يجب عليهم الانتظار اكتر,0.97790134
أعرف أن هذا ليس كل شيء، لكن إنها بالتأكيد بداية.,ده بس بداية الحكاية!,0.7302462
-ماذا لو طلب المال؟,- و ايه لو طلب الفلوس؟,0.80991864
الذي هو القائد ، لديه دعمي.,اللي هو القايد، عنده مساندتي.,0.82021415
"اعم, اعلم بأنك جاهز",طيب يا عم ... اعرف انك جاهز,0.9516506
...إذاً هيّا وأقتلها,- مفيش حد يقدر يقتلها,0.8565828
ماذا تعتقد أنت هل كنت يعمل هناك؟,عملت ايه في خوك؟,0.8556769
قد يعني هذا أنّ الأمور ستكون أكثر صعوبة عليك لبعض الوقت,ده ممكن يسببلك صعوبات اكتر فتره,0.8599596
"سوف نتحدث, أريد أن أقول لك شيئا",أنا و إنت لازم نتكلم,0.8984481
لاأريدأنّأكونهذاالرجل !,أنا مش هقبل إن حد يتهزا,0.69735
الوقت مبكراً- نعم-,لقيتوا النهاردة في وقت مبكر,0.75457096
أتصدقين حقاً بكل هذه الأشياء؟,بتصدّقي كلّ ده بجد؟,0.8948912
القتال مع محمد علي كان مدهش لي,المبارزه مع محمد علي كانت مدهشة ليا,0.867663
يالهي.. سوف اشتاق اليك يارجل,أعتقد اني هح скучать بيك اكتر من اي حاجه.,0.85520196
